Created Date,Complaint Type,Descriptor,Incident Zip,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude
01/04/2016 06:46:20 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11372,1014540,211793,40.74794755253167,-73.89068191819075
01/04/2016 07:24:55 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11226,994576,175318,40.64787804391834,-73.96278886761259
01/04/2016 10:21:16 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10466,1026903,263451,40.889682981540744,-73.84573500195754
01/05/2016 12:56:41 AM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,10040,1003321,250853,40.855187823453626,-73.93106086962486
01/05/2016 07:20:10 AM,Building/Use,Illegal. Commercial Use In Resident Zone,11419,1032959,191375,40.69182290073077,-73.82435475493774
01/05/2016 09:01:46 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11208,1018319,185568,40.6759524911276,-73.87717604954648
01/05/2016 09:07:08 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11413,1053915,181439,40.664410795356666,-73.74889022606233
01/05/2016 09:14:10 AM,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,10467,1021039,257438,40.873205583235745,-73.86697658106199
01/05/2016 09:21:35 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11413,1053915,181439,40.664410795356666,-73.74889022606233
01/05/2016 09:27:58 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11379,1017119,203434,40.72499497391058,-73.88141503283508
01/05/2016 09:39:27 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11413,1053915,181439,40.664410795356666,-73.74889022606233
01/05/2016 09:41:57 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11413,1053915,181439,40.664410795356666,-73.74889022606233
01/05/2016 09:56:44 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11208,1018303,185564,40.675941573602785,-73.87723375212586
01/05/2016 09:57:13 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11220,982247,172886,40.641208521296704,-74.00721735872256
01/05/2016 10:11:19 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11420,1035202,185768,40.676420370107756,-73.81630889184167
01/05/2016 10:16:51 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11220,981240,173430,40.642701399544535,-74.0108460987678
01/05/2016 10:21:22 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11413,1053915,181439,40.664410795356666,-73.74889022606233
01/05/2016 10:27:15 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11420,1035202,185768,40.676420370107756,-73.81630889184167
01/05/2016 10:43:10 AM,Building/Use,Illegal Conversion Of Residential Building/Space,10461,1024295,248841,40.8495952698059,-73.85525476708811
01/05/2016 10:43:12 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11220,981982,173506,40.64291022430126,-74.00817243487163
01/05/2016 11:14:15 AM,Building/Use,Illegal Conversion Of Residential Building/Space,,,,,
01/05/2016 11:27:26 AM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11427,1053967,203223,40.72420217016767,-73.7484773300026
01/05/2016 11:35:37 AM,Building/Use,Illegal. Commercial Use In Resident Zone,11354,1032010,216282,40.760191596315636,-73.82760008717513
01/05/2016 11:37:34 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1033128,190778,40.69018334494636,-73.8237496720506
01/05/2016 11:39:45 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1033128,190778,40.69018334494636,-73.8237496720506
01/05/2016 11:54:58 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11373,1018511,211270,40.74649755670853,-73.87635306849555
