C_O_ISSUE_DATE,BOROUGH,POSTCODE,ISSUE_TYPE
01/13/2016,Manhattan,10280,Temporary
11/15/2016,Manhattan,10027,Final
02/16/2016,Manhattan,10027,Temporary
06/09/2016,Manhattan,10027,Temporary
01/26/2016,Manhattan,10034,Temporary
03/03/2016,Manhattan,10034,Final
11/15/2016,Manhattan,10013,Temporary
02/10/2016,Manhattan,10013,Temporary
08/23/2016,Manhattan,10013,Temporary
10/27/2016,Manhattan,10024,Temporary
02/22/2016,Manhattan,10024,Temporary
05/17/2016,Manhattan,10024,Temporary
08/05/2016,Manhattan,10024,Temporary
01/07/2016,Manhattan,10012,Temporary
04/07/2016,Manhattan,10012,Temporary
07/06/2016,Manhattan,10012,Temporary
01/13/2016,Manhattan,10012,Temporary
11/03/2016,Manhattan,10012,Temporary
04/07/2016,Manhattan,10012,Temporary
07/06/2016,Manhattan,10012,Temporary
10/11/2016,Manhattan,10003,Temporary
04/26/2016,Manhattan,10003,Temporary
07/20/2016,Manhattan,10003,Temporary
10/24/2016,Manhattan,10022,Temporary
01/14/2016,Manhattan,10022,Temporary
03/29/2016,Manhattan,10022,Temporary
06/29/2016,Manhattan,10022,Temporary
02/26/2016,Manhattan,10021,Final
11/10/2016,Manhattan,10019,Temporary
01/08/2016,Manhattan,10019,Temporary
05/27/2016,Manhattan,10019,Temporary
08/26/2016,Manhattan,10019,Temporary
01/07/2016,Manhattan,10022,Temporary
03/07/2016,Manhattan,10003,Temporary
11/10/2016,Manhattan,10012,Temporary
03/22/2016,Manhattan,10012,Temporary
05/16/2016,Manhattan,10012,Temporary
08/18/2016,Manhattan,10012,Temporary
12/01/2016,Manhattan,10027,Temporary
02/19/2016,Manhattan,10027,Temporary
06/03/2016,Manhattan,10027,Temporary
09/01/2016,Manhattan,10027,Temporary
10/12/2016,Manhattan,10021,Temporary
02/02/2016,Manhattan,10021,Temporary
04/19/2016,Manhattan,10021,Temporary
07/21/2016,Manhattan,10021,Temporary
10/12/2016,Manhattan,10019,Temporary
07/20/2016,Manhattan,10019,Temporary
11/04/2016,Manhattan,10002,Temporary
01/26/2016,Manhattan,10002,Temporary
05/18/2016,Manhattan,10002,Temporary
08/11/2016,Manhattan,10002,Temporary
10/13/2016,Manhattan,10012,Temporary
07/22/2016,Manhattan,10012,Temporary
02/02/2016,Manhattan,10022,Temporary
05/02/2016,Manhattan,10022,Temporary
05/20/2016,Manhattan,10022,Final
02/22/2016,Manhattan,10017,Temporary
05/18/2016,Manhattan,10017,Final
02/09/2016,Manhattan,10017,Temporary
07/18/2016,Manhattan,10017,Final
12/05/2016,Manhattan,10012,Temporary
11/18/2016,Manhattan,10024,Temporary
03/08/2016,Manhattan,10024,Temporary
05/27/2016,Manhattan,10024,Temporary
08/22/2016,Manhattan,10024,Temporary
01/21/2016,Manhattan,10036,Temporary
12/20/2016,Manhattan,10011,Temporary
09/27/2016,Manhattan,10011,Temporary
03/01/2016,Manhattan,10036,Temporary
06/01/2016,Manhattan,10036,Temporary
12/07/2016,Manhattan,10012,Temporary
02/04/2016,Manhattan,10012,Temporary
05/03/2016,Manhattan,10012,Temporary
11/15/2016,Manhattan,10007,Temporary
05/18/2016,Manhattan,10007,Temporary
08/16/2016,Manhattan,10007,Temporary
12/27/2016,Manhattan,10012,Temporary
04/18/2016,Manhattan,10012,Temporary
09/26/2016,Manhattan,10012,Temporary
12/07/2016,Manhattan,10036,Temporary
03/15/2016,Manhattan,10036,Temporary
06/02/2016,Manhattan,10036,Temporary
08/25/2016,Manhattan,10036,Temporary
12/05/2016,Manhattan,10003,Temporary
02/16/2016,Manhattan,10003,Temporary
08/26/2016,Manhattan,10003,Temporary
11/01/2016,Manhattan,10011,Temporary
01/13/2016,Manhattan,10011,Temporary
04/06/2016,Manhattan,10011,Temporary
08/11/2016,Manhattan,10011,Temporary
10/13/2016,Manhattan,10017,Temporary
02/05/2016,Manhattan,10017,Temporary
04/29/2016,Manhattan,10017,Temporary
07/20/2016,Manhattan,10017,Temporary
11/17/2016,Manhattan,10013,Temporary
08/25/2016,Manhattan,10013,Temporary
09/28/2016,Manhattan,10001,Temporary
12/06/2016,Manhattan,10011,Final
10/28/2016,Manhattan,10017,Temporary
03/08/2016,Manhattan,10017,Temporary
04/08/2016,Manhattan,10017,Temporary
07/07/2016,Manhattan,10017,Temporary
10/27/2016,Manhattan,10280,Temporary
01/26/2016,Manhattan,10280,Temporary
04/18/2016,Manhattan,10280,Temporary
07/14/2016,Manhattan,10280,Temporary
01/13/2016,Manhattan,10036,Temporary
04/07/2016,Manhattan,10036,Temporary
09/21/2016,Manhattan,10036,Temporary
10/03/2016,Manhattan,10022,Temporary
01/28/2016,Manhattan,10022,Temporary
04/19/2016,Manhattan,10022,Temporary
07/07/2016,Manhattan,10022,Temporary
11/09/2016,Manhattan,10001,Temporary
04/27/2016,Manhattan,10001,Temporary
08/16/2016,Manhattan,10001,Temporary
01/25/2016,Manhattan,10001,Temporary
04/20/2016,Manhattan,10001,Temporary
05/05/2016,Manhattan,10001,Final
01/11/2016,Manhattan,10005,Temporary
04/04/2016,Manhattan,10005,Temporary
06/28/2016,Manhattan,10005,Temporary
09/27/2016,Manhattan,10005,Temporary
10/25/2016,Manhattan,10007,Temporary
03/08/2016,Manhattan,10007,Temporary
05/13/2016,Manhattan,10007,Temporary
08/09/2016,Manhattan,10007,Temporary
04/08/2016,Manhattan,10128,Temporary
06/29/2016,Manhattan,10128,Temporary
09/20/2016,Manhattan,10128,Temporary
10/25/2016,Manhattan,10029,Temporary
02/19/2016,Manhattan,10029,Temporary
05/13/2016,Manhattan,10029,Temporary
08/04/2016,Manhattan,10029,Temporary
10/24/2016,Manhattan,10036,Temporary
02/10/2016,Manhattan,10036,Temporary
02/04/2016,Manhattan,10036,Temporary
05/03/2016,Manhattan,10036,Temporary
07/28/2016,Manhattan,10036,Temporary
03/08/2016,Manhattan,10013,Temporary
12/16/2016,Manhattan,10019,Temporary
04/05/2016,Manhattan,10019,Temporary
07/01/2016,Manhattan,10019,Temporary
09/23/2016,Manhattan,10019,Temporary
12/15/2016,Manhattan,10170,Temporary
08/05/2016,Manhattan,10170,Temporary
10/31/2016,Manhattan,10001,Temporary
02/22/2016,Manhattan,10001,Temporary
05/16/2016,Manhattan,10001,Temporary
08/08/2016,Manhattan,10001,Temporary
03/03/2016,Manhattan,10022,Temporary
01/22/2016,Manhattan,10033,Final
01/15/2016,Manhattan,10019,Temporary
01/14/2016,Manhattan,10021,Temporary
04/07/2016,Manhattan,10021,Temporary
06/29/2016,Manhattan,10021,Temporary
09/21/2016,Manhattan,10021,Temporary
11/17/2016,Manhattan,10020,Temporary
03/03/2016,Manhattan,10020,Temporary
05/31/2016,Manhattan,10020,Temporary
08/18/2016,Manhattan,10020,Temporary
10/20/2016,Manhattan,10024,Temporary
07/19/2016,Manhattan,10024,Temporary
10/25/2016,Manhattan,10025,Temporary
02/22/2016,Manhattan,10025,Temporary
05/06/2016,Manhattan,10025,Temporary
08/02/2016,Manhattan,10025,Temporary
11/15/2016,Manhattan,10011,Final
08/29/2016,Manhattan,10011,Temporary
03/18/2016,Manhattan,10001,Temporary
12/20/2016,Manhattan,10013,Temporary
03/04/2016,Manhattan,10013,Temporary
06/10/2016,Manhattan,10013,Temporary
09/07/2016,Manhattan,10013,Temporary
02/02/2016,Manhattan,10013,Temporary
05/06/2016,Manhattan,10013,Temporary
